file_path;file_id;file_size
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h32v06.zip;notneeded_legacy;90944
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h02v00.zip;notneeded_legacy;44961210
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1_h34v00.zip;notneeded_legacy;49896965
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1_h18v08.zip;notneeded_legacy;156229119
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h20v02.zip;notneeded_legacy;213603653
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp585_V.2.1_h02v06.zip;notneeded_legacy;559901
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1_h00v06.zip;notneeded_legacy;11051
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp585_V.2.1_h30v02.zip;notneeded_legacy;230390984
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1_h12v06.zip;notneeded_legacy;9351516
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h34v08.zip;notneeded_legacy;1001686
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h14v00.zip;notneeded_legacy;83000411
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h34v08.zip;notneeded_legacy;1008621
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp585_V.2.1_h26v08.zip;notneeded_legacy;8670598
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h10v02.zip;notneeded_legacy;168059280
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h18v06.zip;notneeded_legacy;253622315
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1_h18v06.zip;notneeded_legacy;252912310
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1_h30v04.zip;notneeded_legacy;85945911
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h12v08.zip;notneeded_legacy;292719707
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1_h06v10.zip;notneeded_legacy;7608
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1_h22v12.zip;notneeded_legacy;20447
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h12v10.zip;notneeded_legacy;242025843
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h22v12.zip;notneeded_legacy;20365
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1_h10v04.zip;notneeded_legacy;52905822
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp585_V.2.1_h18v12.zip;notneeded_legacy;3059
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h04v02.zip;notneeded_legacy;128732515
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1_h14v04.zip;notneeded_legacy;109808
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h10v00.zip;notneeded_legacy;50361961
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h10v08.zip;notneeded_legacy;367686919
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp585_V.2.1_h12v10.zip;notneeded_legacy;240860954
Climate/2071_2100/bio18/bio18_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1_h02v08.zip;notneeded_legacy;60980
Climate/2071_2100/bio18/bio18_2071-2100_ukesm1-0-ll_ssp370_V.2.1_h34v10.zip;notneeded_legacy;3425572
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h12v10.zip;notneeded_legacy;241310556
Climate/2071_2100/bio18/bio18_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1_h14v12.zip;notneeded_legacy;254095
